gene_id,"(MEAN) Mated females (Rogers et al., 2009) virgin 0h","(MEAN) Mated females (Rogers et al., 2009) mated 2h","(MEAN) Mated females (Rogers et al., 2009) mated 6h","(MEAN) Mated females (Rogers et al., 2009) mated 24h"
AGAP004677,1170.8579325587987,1110.3303718585385,1400.538890759363,1092.5370123339549
AGAP004678,794.3658763583081,620.1428776917305,812.8075433289936,609.8808261671898
AGAP004679,303.73408385952956,249.00282795123024,327.04342521937315,292.05373400251835
AGAP004680,,,,
AGAP004681,,,,
AGAP004682,248.69522973174492,255.56624826798668,279.84227311876026,250.13038678708247
AGAP012372,67.03568846137172,76.23808917488188,66.6878301425451,73.87725463641168
AGAP004685,257.7529088713705,202.9136076336577,261.60777405020684,239.77846252047675
AGAP004687,,,,
AGAP004688,,,,
AGAP004689,245.52223982133913,216.62112080772218,212.4611399398712,209.1457634242648
AGAP004690,278.0720456839336,284.4261193431753,142.5462849565096,356.01067033449425
AGAP011067,,,,
AGAP004692,272.6167110577434,247.0763784041525,297.5674933512063,276.76478178035035
AGAP012225,51.73559060246167,48.72138705587557,50.80082407429235,57.42578062137329
AGAP000558,29.46948386717819,37.0933829289625,31.045139084973098,31.948531106935526
AGAP004695,170.20976604472025,150.95519022297267,194.59622565853317,169.2650222188744
AGAP003207,33.85104342444625,32.373369039963166,31.133806389534822,35.59698789664998
AGAP000983,76.31951827287087,74.11926824128653,72.4699002782523,78.64845892728007
AGAP006727,71.5991225896023,80.96931318877309,79.56397022348655,97.515975039179
AGAP007725,505.7533876196132,475.6796550731008,541.045716597339,460.2168857438793
AGAP004703,302.66123632557316,264.47542033875413,267.37514878962645,259.81634750261503
AGAP009758,40.90584034426271,42.33815910115054,48.550359423602615,46.391758946930146
AGAP004706,,,,
AGAP011252,88.03376214925265,91.40302523950115,114.279810193341,94.00768090462334
AGAP008658,77.92462651173496,72.46479057696293,80.21295658091229,74.9902732893859
AGAP004709,893.9344110834734,987.3766228640321,1039.5882661832313,1081.3389596464156
AGAP004710,2293.125772268054,2480.9317291075736,2111.5208095776575,1899.4947641985423
AGAP001185,183.70345997305074,188.41893363949148,195.35215712958023,170.34549431092572
AGAP009548,,,,
AGAP004712,,,,
AGAP004713,,,,
AGAP010393,,,,
AGAP006600,42.816061404003015,42.57840284864795,54.548207460597766,41.21306830864935
AGAP004716,,,,
AGAP004717,9.648167608275692,10.09251162173643,8.922821807696105,9.549708431904344
AGAP007169,285.28300610454846,223.09897220220523,235.22593156470617,283.02192046163333
AGAP011782,47.058715838131725,52.47178566521261,52.238316378622365,55.8563757097228
AGAP008192,13.0174045941576,11.956721718356413,14.670403867678376,15.121821533129953
AGAP004288,51.63965707440603,47.3114799377338,49.31518695866675,53.28582386420544
AGAP004729,230.89689703447763,204.24682730128288,256.04019424632065,212.88689069980884
AGAP004722,153.54045454684487,152.10635849382683,170.2396600706526,138.83589200578157
AGAP028395,,,,
AGAP008629,126.85486474405668,128.5411671544804,142.1644188728984,133.19444033945453
AGAP029535,158.83994728990228,178.91451685238366,150.347814979368,166.68608574534537
AGAP004725,1147.2565912124999,891.7177539053126,1091.6942855958544,913.1954733433702
AGAP028013,,,,
AGAP006715,77.49922262287123,74.18574009202688,66.83058788466154,88.78761489460197
AGAP011795,94.76121641948062,90.22675517922511,94.71253107425296,103.88113803842965
AGAP007563,80.50333942660316,73.72066950700956,63.692945002280396,73.82589206711015
AGAP009961,121.6706650359192,98.7814615788954,108.79876325869266,102.08874891709739
AGAP029506,65.51780618023862,59.24801858269286,60.95453230336197,57.86877826876379
AGAP000559,22.24832469930378,19.446115064971483,20.069371453901514,21.71459894117366
AGAP001429,43.80579708886108,47.62123785332245,46.858321253077804,56.348811128333075
