gene_id,"(MEAN) Desiccation stress (Wang et al., 2011) No desiccation stress","(MEAN) Desiccation stress (Wang et al., 2011) Exposed to 70% RH 18hr","(MEAN) Desiccation stress (Wang et al., 2011) Exposed to 70% RH 36hr","(MEAN) Desiccation stress (Wang et al., 2011) Exposed to 30% RH 18hr","(MEAN) Desiccation stress (Wang et al., 2011) Exposed to 30% RH 36hr"
AGAP004677,2763.680165134504,2868.5380906679025,3276.2960473483754,3690.4346809401186,3670.854431855281
AGAP004678,698.9074824812426,935.2154347438499,515.915114936382,654.8065382574937,455.6082617192109
AGAP004679,295.9531737809263,297.39211452168183,285.8422056201902,265.7535336925745,189.71413708138616
AGAP004680,,,,,
AGAP004681,,,,,
AGAP004682,736.2248071330957,875.0595972612517,884.0520304491381,760.2262769100911,744.580076605423
AGAP012372,294.1526481201207,253.87770607111,284.133254914444,247.31891151539298,274.55094275461823
AGAP004685,245.57205047408883,338.32566845615816,258.16239002361345,252.67974024243486,211.95365357492713
AGAP004687,,,,,
AGAP004688,,,,,
AGAP004689,283.1806466915464,278.5760883636405,277.85339095728744,247.32018866031683,225.66519790850165
AGAP004690,2318.2173328638364,770.0335753546866,372.51830216033295,474.8135680101929,601.1286088250272
AGAP011067,,,,,
AGAP004692,453.14536813386877,569.2308097669186,701.390994975819,489.77151557684,486.47778410974934
AGAP012225,32.38626121960941,36.59133294865659,33.10971148122913,38.1829731846303,40.57905288848818
AGAP000558,220.6520212894057,205.58102092432173,199.59002969877426,206.30595673846778,215.4285307810107
AGAP004695,642.6970597346605,806.1419339416643,618.2032249388938,545.0104582793311,449.60471377185496
AGAP003207,121.65280776055857,130.8195383326335,117.15082453192849,137.15198640411333,121.99929198501471
AGAP000983,121.7693709646839,122.26732626946058,125.75352224636957,117.75789986575207,116.9412438851178
AGAP006727,317.8748326143628,297.4101396439752,292.1291170106141,291.54701831448034,293.09478533877166
AGAP007725,568.8018212052723,761.9236047123334,733.9025521584834,701.0277073140052,662.2429518180326
AGAP004703,507.8535559824925,686.7595380193474,505.07984445729517,511.1613298276613,385.6482144474643
AGAP009758,4098.55610017315,709.1414891515601,482.2859347033017,301.29910683137945,130.401488460537
AGAP004706,,,,,
AGAP011252,197.00999715298838,217.3965252414268,209.77333478405075,153.74678187359828,145.10029215453307
AGAP008658,96.08604912011408,98.15943222106435,95.57962631379478,96.41287152008361,100.14072470934418
AGAP004709,3339.3461205538424,3209.8160375975244,3166.6129181446136,2974.898560040961,2641.850458411467
AGAP004710,6709.199974594259,6752.7061341496055,6274.130405314407,7027.886174851654,6770.279833119108
AGAP001185,447.89591902354414,314.91149588959786,390.8321143488912,379.3833388645781,437.04564188466804
AGAP009548,,,,,
AGAP004712,,,,,
AGAP004713,,,,,
AGAP010393,,,,,
AGAP006600,946.7485406056783,969.1726961095511,997.9301440467733,923.7156545686129,905.9765674049283
AGAP004716,,,,,
AGAP004717,21.877825082459,17.06430853641126,16.52539167585981,16.652650911385074,14.579574140285347
AGAP007169,60.27633772105642,70.00251873689372,63.009062757180594,82.10667972518765,85.07873667961893
AGAP011782,81.19140149388302,87.98755404731858,113.62488420926421,61.33835639636844,63.021113282127295
AGAP008192,73.28824494561063,64.27774981281435,71.05171689075242,63.82191638249801,59.691488377290106
AGAP004288,80.65299769082328,93.1437781735491,80.95362107748409,86.91676253030603,87.78037936085798
AGAP004729,126.31677499690758,165.9143518688976,136.46195813370062,143.6533076093518,120.93042432614219
AGAP004722,776.1908677427896,801.2480058921986,826.9549536355239,968.9039773036079,989.2880301271498
AGAP028395,,,,,
AGAP008629,158.47427668785554,319.4303611462822,344.0447450712827,337.4050140705527,235.59798319529924
AGAP029535,189.81465731071003,142.96914014505413,167.36916332386997,169.60353491928626,210.7920278374473
AGAP004725,656.8276571653014,767.6208526060846,624.8311810103287,658.7826665002387,535.4965039567237
AGAP028013,,,,,
AGAP006715,156.13782716901477,139.89143408245818,148.02761388502478,148.08379755924986,158.7291594956805
AGAP011795,130.8545191973889,149.58145108028316,129.31000036290385,136.81096097597438,133.3292928960581
AGAP007563,255.5170637253608,213.19792299551207,237.05635613624807,199.5592413978241,242.95101642645602
AGAP009961,133.57025999913782,119.6321456915396,119.55474533278546,125.97118804278428,130.7123441601654
AGAP029506,47.02219811019977,45.951576499290674,48.486333559335904,45.72828810592953,46.62488801005974
AGAP000559,44.6284678550012,43.211175174628046,48.25327396967027,47.83907084726926,48.0229892973659
AGAP001429,112.22342331494578,105.65154408342623,110.16293326928842,109.05541230785727,115.76243665428046
AGAP004733,26.549310760759855,22.69185221163723,24.67725519459329,32.134753663796765,28.964286835364867
AGAP011045,122.11021277686953,119.63846249379434,120.5553384689748,132.55156678376915,134.3914659868158
AGAP004735,55.7689441428445,57.72582689681309,82.40057039585385,44.06457831797753,38.42873086263238
AGAP004736,367.1281510534064,367.28095316124904,342.99648913026795,292.81937531291663,270.0182666100166
AGAP004737,350.35048350145166,284.1098251953118,295.6906613422421,305.1886383747747,332.5252241222449
AGAP004738,308.67450583125833,376.7731475047871,333.03322950982727,293.6446361683859,253.15726158385692
AGAP004739,3663.101039024739,3680.216922453589,3001.9309555540335,2652.52403797477,1981.2569078181587
AGAP028446,,,,,
AGAP011516,956.1743939118932,798.2739686523015,701.8542133678225,729.216000905487,602.7767625845177
AGAP004741,,,,,
AGAP004742,3840.757229304305,3760.9977292625904,3661.3247315129483,3912.9740844725065,2672.918437606614
AGAP004743,2716.57870464754,2669.07642473739,2458.734513013395,2071.4501262282038,1884.9360854801619
AGAP004744,6775.444351617903,6036.723175395177,6261.0444141308935,6081.135834216907,5738.865510064109
AGAP004745,202.62452169921022,231.7565994375617,200.32021130977992,190.40762232607742,172.76707289520027
AGAP007899,130.73416705418305,213.1562406524398,151.78680154336806,144.55276072446455,106.96957916699739
AGAP006680,347.56311509584685,345.38310081183977,352.2293491402353,374.13563696111277,436.18209764636504
AGAP004748,1732.0020952557918,1719.14427591812,1523.263826222691,1398.4857227839364,1042.4987583238183
AGAP004749,853.8492403124542,912.7082020671523,834.2148194175081,824.7555775107035,843.1059672552352
AGAP005105,127.20155693891324,148.91006723126281,141.61545625192778,125.47664858838809,115.07654572838565
AGAP005566,138.38824171139007,169.95835453003238,165.80743899977506,176.18501252893623,178.7005188538276
AGAP002534,1738.70822862239,2080.6589058730005,1687.0358660198067,1868.7395934729825,1439.0823342046504
AGAP004752,1440.870438060028,1644.3198257220954,1359.9143638441428,1278.1575558892168,905.9242661242341
AGAP028223,2340.9443287223394,5523.530689841439,3234.1596007757125,4538.107502977106,3986.4807575514983
AGAP029681,340.6561768428915,316.0206906382815,288.6230150606153,375.97618716229215,457.153085189057
AGAP029666,266.61563058569993,252.59109392344862,304.1073107504779,319.51727196339823,343.0202717920998
AGAP013089,109.2647991007515,99.51658128588487,108.68470111373854,107.51785989835781,120.92706694302234
AGAP007779,164.99131602625005,135.35013516030833,127.19660129795214,134.55852909715037,184.23285706026672
AGAP004755,233.59532463161506,247.63647377036185,221.29927032170684,184.0051539191813,167.27289976280568
AGAP005738,484.71401604021287,554.1653500791103,501.89697305775803,378.9260550230403,328.5235787608681
AGAP004756,292.71341794698947,373.4386819612537,306.9356519926451,276.77410491588876,237.483491704129
AGAP028398,,,,,
AGAP004757,,,,,
AGAP004758,1512.0473152564061,1500.9083094358516,1442.0743768287036,1574.5157679038591,1472.5591190776306
AGAP004759,,,,,
AGAP012084,251.43601151689037,375.6584309521153,355.56695629478116,327.93079817248827,360.94827648752147
AGAP004762,316.07542758112663,192.33967979003617,239.7384572705994,156.72809178873825,112.91446865078565
AGAP005120,202.64383261866203,227.48184590555172,182.0464122036344,228.77055850001184,238.73728219933892
AGAP010837,220.44386931278996,270.3201162848529,240.11681957235146,250.3174415478455,265.2287320732319
AGAP004766,350.2126611793877,379.02140768388716,373.56726999859654,349.2634475534947,301.19709932616274
AGAP011446,276.27334544989463,309.53902932539347,283.50345738056296,292.24441725661404,280.99618357412055
AGAP008035,62.87454615102929,65.11249192744263,58.955656700339645,62.01254857147271,61.98578621504864
AGAP029419,,,,,
AGAP009315,98.05827687262216,91.34009100457556,93.66779983828695,101.47426217973768,105.37216023235987
AGAP029293,79.7226377108102,78.97231668956131,67.7911471538958,78.18337658510454,82.97069685404229
AGAP005302,370.0984345283252,249.19304777194415,381.92746899287016,291.3288889830111,324.3925241930959
AGAP011491,153.6014021998451,156.26192534296942,152.17446979781045,169.44257348954383,190.91237467017731
AGAP000192,,,,,
AGAP000196,81.39537704569989,80.11233876221296,71.65585188061277,75.61851338684387,79.94689278976587
AGAP012404,1110.5451403559275,1027.0246262281087,1370.5363146991513,981.124402120743,1086.9903897545898
AGAP004775,1280.9513336415935,973.4918428222401,982.1928363424811,1017.0766395271875,996.6755291982861
AGAP006668,,,,,
AGAP012739,,,,,
AGAP004778,404.5944388595724,570.4573045900646,512.5921234658931,494.0557234028455,441.878846122957
AGAP002439,685.4523192703525,800.1019924204239,820.9824984471887,649.6471505328655,674.3467529486516
AGAP029703,,,,,
AGAP011440,123.04800396972415,146.05545855179622,137.5690850167303,125.31605650368536,134.13327074343383
AGAP006930,127.34622311524144,206.11562998180256,110.60555673370699,130.4119801508899,122.39068421176233
AGAP004562,249.33127047751137,210.65924262923218,206.78999298736184,213.5581252434406,221.66953334004683
AGAP004784,218.2593977329815,192.3440027301072,277.23973493617683,173.12946278625088,156.47914171007343
AGAP004638,2309.2760543036857,2947.242019128139,2874.85799527836,1944.9268093295516,1079.1900076231077
AGAP004786,,,,,
AGAP004787,430.371153396546,347.0001477820212,419.1651599154017,361.9759155405596,307.42629059366624
AGAP028747,49.99056175904806,49.69469546335139,50.40181329256133,52.86560431659466,50.718373641877726
AGAP004789,,,,,
AGAP011146,1481.278770455681,1672.4270295541498,1776.679096245653,1489.101336111731,1387.5366369524518
AGAP004791,,,,,
AGAP004792,248.19236308665927,247.2128687580527,323.6330179827799,515.8984611777263,543.7781925245646
AGAP004793,198.23322783833768,205.4146263792283,236.3567879592413,365.35115627189316,305.505148728429
AGAP004794,445.1946353786926,574.892195808997,553.4684916178293,427.68875931321855,327.36058202790315
AGAP002966,112.70908605596266,103.16107601276579,104.56889833541825,98.48758985823497,105.99458707621405
AGAP004797,427.19104156626213,476.1310927691029,409.3162936365959,382.94741083609216,331.07558646341425
AGAP004798,997.0019278056757,972.120435888233,996.5571651436989,1030.7616272912935,1131.2509590939278
AGAP004799,2360.29269342661,1726.6082240276448,1890.8900871147925,3342.240766787985,1224.2505424933502
AGAP007198,104.3106340433307,90.6668062130272,96.55439756299027,106.60545917862393,117.24560544627731
AGAP004801,165.28347404567182,153.17293451834578,166.70733696264244,169.06625386852727,200.4849309174227
AGAP004802,2557.8659790957486,2775.6791571379035,1386.4210607190705,4457.981703048076,4592.720141716505
AGAP004804,292.29828029398834,408.7394326121983,305.5479484287239,310.0764350360053,302.5220610996262
AGAP004806,513.81043568679,448.7599597040578,615.4339636750004,464.8526909659251,365.173950792966
AGAP004807,,,,,
AGAP029785,,,,,
AGAP005068,50.00342434144993,45.28613226985699,53.830054653142405,42.50395062807686,43.212795053058606
AGAP004809,2406.4652413026356,1812.1980917992792,1745.1072036583946,1638.7439853233734,1381.3852606668452
AGAP004810,114.39181996329097,111.60033719643685,108.68827541758596,143.6082679977932,178.89675767558924
AGAP004811,34.57428376627376,43.098924789091456,33.09732043962537,44.535919577425574,47.14686634273101
AGAP029538,133.84141241870952,164.77697621568137,146.90825304568983,145.76317469491784,152.8746627642545
AGAP004608,152.5956557070306,149.78558958964007,128.44304612747305,131.37732657246985,111.37410236744516
AGAP004813,,,,,
AGAP004814,107.01727836084059,68.53754420918452,68.17153079118492,180.01364206979343,141.78227920620745
AGAP004815,,,,,
AGAP004816,,,,,
AGAP012194,281.7891861324769,244.22145122765062,264.0770292762158,224.9489455401969,243.97989277760996
AGAP010959,241.602648892447,251.44865408850706,233.46420516108327,254.44808230623602,248.12615162337522
AGAP004819,2587.714141903145,2400.0106459393824,2310.316979263828,2597.2832100601163,2639.0138557462856
AGAP009507,564.7535346946651,718.7917056330477,647.926945703158,639.5917368766654,573.4485238734682
AGAP009969,,,,,
AGAP012017,245.46736855784928,356.2749920618719,240.18883254148926,277.79560934814094,274.5680333659806
AGAP009211,79.56778561540469,78.89872437520077,76.0781317884089,75.3896655167794,86.64572709473146
AGAP029246,80.121216167037,75.24258931972207,81.0124937764355,85.7844999797006,86.62690442426296
AGAP004826,,,,,
AGAP004829,40.86347330321236,42.12507991194971,41.01799118807674,39.674083554045055,45.066080502737606
AGAP003556,11051.847348466255,12024.171740604948,11480.318603461792,11895.88404939674,11486.354638945835
AGAP004832,15.769854302120702,14.201461718454215,13.165998131398185,14.27097991923729,15.659902866976775
AGAP004471,230.83989617262878,239.40178401219737,256.93908940685174,224.86612574950834,247.21230363022858
AGAP005606,119.93343187382517,144.43533985689908,136.7088994439575,146.43382058578356,157.31945976912743
AGAP001950,74.75704017163928,90.83617310537352,74.32226484690958,75.16699430627693,72.80101708562331
AGAP012636,,,,,
AGAP012120,108.22162836558473,145.50828642153286,120.57838807094521,114.25136226543142,103.62248603670616
AGAP004838,,,,,
AGAP001962,71.8925952812238,72.1587528003609,78.36778218019346,78.32176138012338,82.85652069896128
AGAP011066,,,,,
AGAP004840,258.57741433571954,336.8325178855954,315.99927890042744,270.0761338787204,247.124346731944
AGAP003963,47.921378168344994,48.77381673488248,53.20509470945428,41.606079011520755,45.42737335569715
AGAP004843,342.52724595244666,502.2162392726156,384.70666469168833,430.0631595696047,425.64011273684616
AGAP029073,,,,,
AGAP004845,295.8220494051912,303.6672484326544,288.57916842845754,316.3212596400243,283.04217869685476
AGAP004846,207.08259199351633,144.80524529196094,169.3544881836472,181.78759605491612,183.53185178793794
AGAP006089,,,,,
AGAP004849,437.42373888164667,650.2857204839008,552.4624607574284,497.9113765374336,514.6365274829083
AGAP010209,43.14084680197485,53.83015248569022,52.21255796796144,49.86324871643276,51.85831125280351
AGAP004851,579.0363156888619,457.4974906228365,676.9919510195067,395.0817288427416,199.8471630833118
AGAP010327,625.0541057069548,545.9178372259735,831.5678109744705,499.69107013316824,578.2422104101248
AGAP004853,722.371682000408,850.6327260317707,881.1520822227461,972.6942127607729,1199.1252729177256
AGAP004854,95.41687094912521,107.40836514487914,89.27395943861296,85.95844670767804,76.29429744957743
AGAP004855,1690.3428608114489,1450.2641598474322,1479.8140333894596,1034.9012447061707,623.3116986258315
AGAP011745,123.45444476973495,137.8752960124347,109.9401786036853,121.83248461002167,120.55492007179792
AGAP012619,,,,,
AGAP004859,990.2301746041811,1992.895310364989,2645.867242013743,2302.6829199838303,3269.8298958752875
AGAP004860,684.4825879192662,524.6966948453211,525.7429285338666,432.55729367111564,475.7572758951846
AGAP004269,234.31653107975487,317.9134458566098,254.1220053863847,228.48807334348945,197.77961417560314
AGAP004862,25.566695589981634,27.044976222772064,26.245785027983462,29.13752101976561,26.57758799422372
AGAP004863,108.93575512585127,105.84449902607759,120.05600414004789,115.20015103303636,121.98401951075665
AGAP004864,241.72074208175323,250.88156032131238,272.23475427693694,211.28075810590016,173.7360462435442
AGAP009915,112.15985654520175,127.9221800210639,97.0406555914404,119.1758002727649,116.01599301789487
AGAP012018,108.30736540234503,96.31965743585431,88.66221789408385,92.44568956409368,91.42878824021204
AGAP004867,612.8562455398875,612.1263833193917,573.5415300046087,628.7851239854859,639.5884602240926
AGAP004868,1591.0904315723358,1547.5551734562162,1399.479860184305,1466.7173481906748,1445.5137232175507
AGAP004869,26.87033584121886,23.595954071074843,24.188007326851572,27.48175859482053,25.352218416540776
AGAP009707,12.427334617805911,10.797085152386261,10.883457414138878,11.796994415346578,10.020018631430053
AGAP011933,47.291042490194954,56.71791481474612,52.566341793769006,55.413575144992045,56.4758913299765
AGAP002808,733.0169851390112,976.1810942317135,742.8888501788795,741.7569221922009,644.2023154637243
AGAP004872,71.18789525625351,70.15808596651237,67.43987943474805,70.46365552353231,72.40128455772613
AGAP004875,,,,,
AGAP004876,8.82704152131931,8.828525557171542,8.787254716483146,8.667990083883007,8.63282892390485
AGAP004877,4523.818114870127,2745.969698043252,2867.593695177859,3169.6330869775393,3034.4444818617403
AGAP005878,158.0949599232291,160.24606041756707,160.43053509405433,167.7207635539158,173.60002628531072
AGAP004880,259.07840102510374,184.73265303508245,288.22263320892154,211.42577943442967,241.18614326032497
AGAP010718,2633.5170599915964,2959.679415214337,2420.9796043469696,2602.5317162993033,2388.021151909396
AGAP004882,179.98991885905508,175.82544567885788,176.57074332996982,172.60375864805755,179.8910984174006
AGAP004883,5839.685181867115,3317.601754541116,3625.0868641746074,2742.5461265363706,2141.194415937319
AGAP011648,57.60022543632722,47.38357200628284,47.07918517584812,52.063035989408505,48.223574854535514
AGAP004885,1770.3270219051915,2082.498974765089,2033.4656004310882,2062.3877581495344,2051.0776993681316
AGAP004886,1462.9351573279275,1763.070867106648,1347.9255883281226,1805.1148427164585,1757.8950185483266
AGAP004887,12275.550895278528,12777.11880596948,12353.64964105779,13154.102073175369,12430.240849468673
AGAP004888,96.77130618650659,93.70409071711977,101.69905511740751,102.66709428855683,106.77573635403978
AGAP004889,430.34647427561805,524.8277097972531,480.76228925167595,506.4969632451639,450.9416445266329
AGAP004890,1639.2471031275134,1745.6970758691298,1709.5695838467752,3312.4030639646603,3368.2105264078555
AGAP009085,45.415178140507564,39.48649767601893,38.89687843202168,41.57365169274985,44.05447317745929
