node,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6
0,53,151,236,350,421,74
1,22,112,300,343,423,11
2,81,166,299,314,431,230
3,45,135,245,367,481,265
4,76,152,286,383,429,237
5,81,117,254,347,494,414
6,6,144,273,327,463,214
7,68,111,290,347,465,442
8,71,152,280,395,407,481
9,33,112,215,367,433,326
10,81,111,212,398,419,176
11,84,170,250,348,414,495
12,35,148,201,334,426,355
13,98,144,277,301,494,447
14,12,172,277,390,436,321
15,99,127,259,315,432,350
16,36,199,232,349,482,40
17,54,144,216,390,431,119
18,62,101,241,328,459,242
19,10,164,231,376,496,258
20,34,187,270,365,422,6
21,76,126,259,346,422,393
22,63,103,215,338,463,81
23,13,108,228,351,451,193
24,75,190,271,302,494,341
25,65,129,224,388,457,189
26,34,187,285,357,469,448
27,48,157,207,332,441,23
28,7,167,237,389,497,316
29,14,124,231,396,423,73
30,17,139,223,393,463,253
31,67,136,282,381,490,180
32,19,111,213,349,413,308
33,100,101,207,371,413,428
34,23,168,223,371,495,207
35,89,135,218,389,460,51
36,77,140,282,333,490,416
37,66,173,225,317,463,281
38,35,186,293,390,445,103
39,73,178,223,305,420,38
40,34,194,249,343,478,15
41,85,106,254,335,483,463
42,99,170,295,333,416,172
43,35,199,278,375,443,96
44,49,172,281,313,428,156
45,65,101,259,397,458,382
46,34,105,291,372,490,177
47,56,123,263,350,423,126
48,56,171,292,361,449,463
49,86,164,283,340,463,463
50,27,148,297,362,423,481
51,15,169,247,367,443,86
52,69,113,235,334,480,144
53,46,116,291,342,483,89
54,54,104,221,342,424,20
55,99,142,293,359,490,443
56,58,143,270,354,454,95
57,14,190,212,370,444,369
58,75,171,275,335,455,383
59,17,189,297,331,439,199
60,56,200,260,368,402,459
61,95,110,287,382,460,319
62,66,163,237,359,466,81
63,33,146,268,347,426,483
64,99,124,243,342,482,429
65,63,110,229,362,422,121
66,64,181,255,372,442,320
67,66,107,202,353,444,193
68,97,179,261,371,454,496
69,85,197,251,349,438,258
70,35,107,263,378,488,59
71,66,190,297,372,423,217
72,70,161,242,331,490,87
73,26,143,206,320,419,240
74,85,190,257,339,407,261
75,8,103,228,362,443,234
76,32,172,253,323,404,261
77,7,106,225,354,477,330
78,14,193,215,376,488,303
79,98,105,223,357,406,407
80,81,132,295,381,402,422
81,79,115,208,373,430,355
82,15,106,265,358,457,79
83,7,130,291,390,473,264
84,26,193,244,400,459,306
85,93,178,204,354,472,441
86,15,106,230,393,444,37
87,36,184,285,310,471,216
88,68,145,234,331,454,252
89,9,141,237,367,412,374
90,3,129,204,370,499,373
91,72,154,290,367,409,121
92,89,156,267,302,424,469
93,80,149,280,399,427,461
94,1,191,235,332,472,464
95,59,131,211,318,445,73
96,18,148,261,336,455,77
97,41,113,270,315,418,372
98,49,114,279,379,487,123
99,14,178,255,398,474,289
100,44,149,244,367,443,32
101,36,124,211,319,474,462
102,83,150,228,362,488,433
103,8,184,256,368,451,487
104,46,200,238,323,492,486
105,70,198,250,338,444,480
106,18,194,256,311,424,131
107,2,162,262,327,417,189
108,9,185,279,357,405,9
109,57,139,252,345,461,193
110,61,191,284,371,401,10
111,20,160,273,334,430,386
112,87,123,201,362,466,387
113,47,194,257,322,463,15
114,54,141,271,323,476,157
115,16,198,294,387,499,429
116,29,145,258,384,405,383
117,56,173,212,342,444,1
118,25,179,214,313,476,124
119,49,192,271,310,421,391
120,84,155,254,303,402,39
121,90,149,214,391,466,438
122,38,115,269,327,481,262
123,38,177,235,371,431,426
124,65,121,296,399,431,3
125,4,140,293,385,430,134
126,25,128,270,308,424,111
127,54,173,292,375,421,64
128,1,133,231,352,475,277
129,14,146,293,332,500,97
130,51,157,229,345,421,190
131,2,104,254,361,493,449
132,57,132,226,324,415,344
133,15,115,286,332,459,242
134,70,125,207,367,495,240
135,75,194,233,391,439,321
136,54,197,214,301,457,383
137,20,179,274,369,463,108
138,37,116,268,369,447,260
139,60,146,260,371,486,76
140,69,127,249,351,495,207
141,31,151,221,350,418,266
142,18,168,223,374,417,209
143,9,172,207,340,447,178
144,55,171,299,303,455,341
145,47,168,248,363,462,404
146,59,146,293,376,435,162
147,15,134,218,388,450,186
148,87,182,296,391,493,247
149,67,197,226,318,469,423
150,33,107,204,352,428,454
151,93,200,245,379,418,396
152,83,193,271,315,498,477
153,13,151,249,360,431,4
154,77,110,211,391,440,392
155,71,181,294,319,455,266
156,94,127,230,336,427,155
157,77,108,288,343,426,76
158,15,162,255,398,434,281
159,53,110,285,320,453,464
160,25,166,273,356,453,454
161,37,149,202,384,439,247
